(-9.32859,-5.55112e-17)
(0,0)
(0,0)
(0,0)
(-0.0615125,3.95543)
(0,0)
(-9.64566,0)
(0,0)
(-2.65782,0.0318617)
(0,0)
(-1.60167,-1.19828)
(0,0)
(0,0)
(0,0)
(-1.37483,-0.088386)
(0,0)
(0.896277,0.678799)
(0,0)
(0,0)
(0,0)
(0.571519,1.21053)
(-0.255498,-0.131643)
(0.656771,0.241872)
(0,0)
(0.111981,1.23927)
(0,0)
(4.04607,0.696823)
(0.262052,0.0331104)
(-2.02432,-1.86904)
(0,0)
(-11.5689,0.150409)
(0.088482,0.0111797)




(0,0)
(-9.32859,-5.55112e-17)
(0,0)
(0,0)
(0,0)
(-0.0472372,3.91868)
(0,0)
(-9.64566,0)
(0,0)
(-2.65782,-0.0318617)
(0,0)
(-1.60167,-1.19828)
(0,0)
(0,0)
(0,0)
(-0.644694,-0.544084)
(0,0)
(0.904198,0.668212)
(0,0)
(0,0)
(0.277365,0.075349)
(0.228802,1.09793)
(0,0)
(0.647825,0.264901)
(0,0)
(0.0620179,1.3679)
(-0.262052,-0.0331104)
(4.04607,0.696823)
(0,0)
(-2.06832,-1.99962)
(0.088482,0.0111797)
(-11.7455,0.128732)




(0,0)
(0,0)
(-5.28891,1.07553e-16)
(0,0)
(1.16985,0.19117)
(0,0)
(-0.392262,0.892591)
(0,0)
(0,-1.91641)
(0,0)
(-1.87342,-1.11103)
(0,0)
(-3.91047,1.13709)
(0,0)
(-3.79842,0.929237)
(0,0)
(-2.39905,-2.42693)
(0,0)
(-1.064,0.721614)
(0,0)
(1.65307,0.643312)
(0,0)
(1.82369,0.0195557)
(0,0)
(5.13631,-11.5368)
(0,0)
(-14.8279,-1.87351)
(0,0)
(1.86946,5.38769)
(0,0)
(0.672033,-2.61695)
(0,0)




(0,0)
(0,0)
(0,0)
(-5.28891,1.07553e-16)
(0,0)
(1.16985,-0.19117)
(0,0)
(-0.765337,0.891312)
(0,0)
(0,-1.91641)
(0,0)
(-1.83138,-1.07958)
(0,0)
(-4.31798,0.484172)
(0,0)
(-3.59683,0.73516)
(0,0)
(-2.41916,-2.40476)
(0,0)
(-0.444043,0.183492)
(0,0)
(1.65386,0.641271)
(0,0)
(1.26142,-0.19886)
(0,0)
(5.16545,-11.9716)
(0,0)
(-14.8279,-1.87351)
(0,0)
(1.86442,5.6737)
(0,0)
(0.663053,-2.58198)




(-0.0615125,-3.95543)
(0,0)
(1.16985,-0.19117)
(0,0)
(11.2303,1.11022e-16)
(0,0)
(0.0770198,-2.8435)
(0,0)
(0.0339611,2.92675)
(0,0)
(-1.39658,1.86673)
(0,0)
(-2.80357,2.03408)
(0,0)
(2.41889,3.08998)
(0,0)
(0.519741,0.360982)
(0,0)
(1.50453,0.0438542)
(0,0)
(-0.316048,0.891174)
(0,0)
(0.779957,-2.01647)
(0,0)
(-1.80535,-3.38929)
(0.160912,0.0212778)
(-1.38177,1.52933)
(-0.102527,-0.0129543)
(-13.7381,-1.22076)
(0,0)
