0      6.24417
0      6.24423
0      6.4126
0      6.4127
0      6.95895
0      6.95912
0      7.16576
0      7.16582
0      7.3246
0      7.32468
0      7.36956
0      7.36961
0      7.60783
0      7.60787
0      7.90184
0      7.90189
0      8.56762
0      8.56766
0      9.02596
0      9.02608
0      10.201
0      10.201
0      10.2198
0      10.2198
0      10.9753
0      10.9754
0      11.9187
0      11.9187
0      12.4122
0      12.4123
0.00666667      6.24094
0.00666667      6.241
0.00666667      6.40966
0.00666667      6.40976
0.00666667      6.95797
0.00666667      6.95814
0.00666667      7.16244
0.00666667      7.1625
0.00666667      7.33005
0.00666667      7.33013
0.00666667      7.37268
0.00666667      7.37274
0.00666667      7.60438
0.00666667      7.60442
0.00666667      7.8957
0.00666667      7.89576
0.00666667      8.57182
0.00666667      8.57186
0.00666667      9.02591
0.00666667      9.02603
0.00666667      10.1928
0.00666667      10.1928
0.00666667      10.2309
0.00666667      10.2309
0.00666667      10.9784
0.00666667      10.9785
0.00666667      11.919
0.00666667      11.9191
0.00666667      12.4103
0.00666667      12.4104
0.0133333      6.2314
0.0133333      6.23146
0.0133333      6.40088
0.0133333      6.40098
0.0133333      6.95499
0.0133333      6.95515
0.0133333      7.15382
0.0133333      7.15388
0.0133333      7.34503
0.0133333      7.3451
0.0133333      7.38176
0.0133333      7.38183
0.0133333      7.59407
0.0133333      7.5941
0.0133333      7.87836
0.0133333      7.87842
0.0133333      8.58298
0.0133333      8.58302
0.0133333      9.02639
0.0133333      9.02651
0.0133333      10.181
0.0133333      10.181
0.0133333      10.2513
0.0133333      10.2513
0.0133333      10.9876
0.0133333      10.9877
0.0133333      11.9202
0.0133333      11.9202
0.0133333      12.4046
0.0133333      12.4047
0.02      6.21598
0.02      6.21604
0.02      6.3864
0.02      6.3865
0.02      6.94975
0.02      6.94991
0.02      7.14277
0.02      7.14283
0.02      7.36604
0.02      7.36611
0.02      7.39648
0.02      7.39655
0.02      7.57717
0.02      7.57721
0.02      7.85252
0.02      7.85258
0.02      8.59735
0.02      8.59739
0.02      9.02923
0.02      9.02935
0.02      10.1698
0.02      10.1698
0.02      10.2765
0.02      10.2766
0.02      11.0026
0.02      11.0027
0.02      11.9221
0.02      11.9221
0.02      12.3953
0.02      12.3954
0.0266667      6.19527
0.0266667      6.19533
0.0266667      6.36654
0.0266667      6.36664
0.0266667      6.94168
0.0266667      6.94184
0.0266667      7.13207
0.0266667      7.13213
0.0266667      7.38728
0.0266667      7.38735
0.0266667      7.41791
0.0266667      7.41798
0.0266667      7.55491
0.0266667      7.55495
0.0266667      7.82148
0.0266667      7.82154
0.0266667      8.60993
0.0266667      8.60997
0.0266667      9.03722
0.0266667      9.03735
0.0266667      10.1591
0.0266667      10.1591
0.0266667      10.3063
0.0266667      10.3063
0.0266667      11.0231
0.0266667      11.0232
0.0266667      11.9248
0.0266667      11.9248
0.0266667      12.3826
0.0266667      12.3827
0.0333333      6.16995
0.0333333      6.17001
0.0333333      6.34174
0.0333333      6.34184
0.0333333      6.92993
0.0333333      6.93008
0.0333333      7.12379
0.0333333      7.12386
0.0333333      7.40098
0.0333333      7.40105
0.0333333      7.44693
0.0333333      7.447
0.0333333      7.53156
0.0333333      7.5316
0.0333333      7.7882
0.0333333      7.78826
0.0333333      8.61589
0.0333333      8.61594
0.0333333      9.05328
0.0333333      9.0534
0.0333333      10.1485
0.0333333      10.1485
0.0333333      10.3405
0.0333333      10.3405
0.0333333      11.0487
0.0333333      11.0487
0.0333333      11.9283
0.0333333      11.9283
0.0333333      12.3668
0.0333333      12.3669
0.04      6.14068
0.04      6.14075
0.04      6.3126
0.04      6.3127
0.04      6.91377
0.04      6.91391
0.04      7.11905
0.04      7.11912
0.04      7.39824
0.04      7.39832
0.04      7.47833
0.04      7.47839
0.04      7.51971
0.04      7.51979
0.04      7.75482
0.04      7.75487
0.04      8.61201
0.04      8.61207
0.04      9.07927
0.04      9.0794
0.04      10.1377
0.04      10.1377
0.04      10.3787
0.04      10.3788
0.04      11.0786
0.04      11.0787
0.04      11.9326
0.04      11.9326
0.04      12.3483
0.04      12.3484
0.0466667      6.10809
0.0466667      6.10816
0.0466667      6.27977
0.0466667      6.27987
0.0466667      6.89291
0.0466667      6.89305
0.0466667      7.11775
0.0466667      7.11782
0.0466667      7.37179
0.0466667      7.37189
0.0466667      7.5002
0.0466667      7.50026
0.0466667      7.53804
0.0466667      7.53814
0.0466667      7.72273
0.0466667      7.72278
0.0466667      8.59745
0.0466667      8.59751
0.0466667      9.11521
0.0466667      9.11533
0.0466667      10.1264
0.0466667      10.1264
0.0466667      10.4208
0.0466667      10.4208
0.0466667      11.1122
0.0466667      11.1123
0.0466667      11.9377
0.0466667      11.9378
0.0466667      12.3277
0.0466667      12.3278
0.0533333      6.07272
0.0533333      6.07279
0.0533333      6.24388
0.0533333      6.24398
0.0533333      6.86755
0.0533333      6.86768
0.0533333      7.11855
0.0533333      7.11863
0.0533333      7.32879
0.0533333      7.3289
0.0533333      7.51752
0.0533333      7.51759
0.0533333      7.57407
0.0533333      7.57416
0.0533333      7.69361
0.0533333      7.69367
0.0533333      8.57322
0.0533333      8.57329
0.0533333      9.1596
0.0533333      9.15972
0.0533333      10.1146
0.0533333      10.1146
0.0533333      10.4661
0.0533333      10.4662
0.0533333      11.1488
0.0533333      11.1489
0.0533333      11.9437
0.0533333      11.9437
0.0533333      12.3056
0.0533333      12.3056
0.06      6.03506
0.06      6.03513
0.06      6.20553
0.06      6.20562
0.06      6.83807
0.06      6.83819
0.06      7.11854
0.06      7.11861
