(4.04179,-2.77556e-17)
(0,0)
(0,-2.93463)
(0,0)
(-0.0615125,-0.00274744)
(0,0)
(-14.976,4.44089e-16)
(0,0)
(-2.65782,0.0318617)
(0,0)
(-2.76569,-5.15414)
(0,0)
(-5.43012,-18.454)
(0,0)
(-1.96353,0.97222)
(0,0)
(-3.74111,-13.2272)
(0,0)
(0,0)
(0,0)
(-3.09452,7.0946)
(-0.255498,-0.131643)
(0.656771,0.241872)
(0,0)
(0.111981,-0.0305158)
(0,0)
(0.0418796,-0.331456)
(0.262052,0.0331104)
(-2.92081,1.24455)
(0,0)
(-1.07549,2.19846)
(0.088482,0.0111797)




(0,0)
(4.04179,-2.77556e-17)
(0,0)
(0,-2.93463)
(0,0)
(-0.0472372,-0.0394966)
(0,0)
(-14.976,4.44089e-16)
(0,0)
(-2.65782,-0.0318617)
(0,0)
(-2.76569,-5.15414)
(0,0)
(-5.43012,-18.454)
(0,0)
(-1.53496,0.846114)
(0,0)
(-3.77158,-13.3325)
(0,0)
(0,0)
(0.277365,0.075349)
(-3.1326,7.10033)
(0,0)
(0.647825,0.264901)
(0,0)
(0.0620179,0.0981063)
(-0.262052,-0.0331104)
(0.0418796,-0.331456)
(0,0)
(-3.02087,1.38577)
(0.088482,0.0111797)
(-1.2529,2.10242)




(0,2.93463)
(0,0)
(4.25154,-1.04083e-16)
(0,0)
(1.16985,0.19117)
(0,0)
(-0.392262,3.54357)
(0,0)
(0,0)
(0,0)
(-0.00016886,0.24318)
(0,0)
(-4.76206,-12.1531)
(0,0)
(-3.34201,0.349678)
(0,0)
(0.0167994,-2.29069)
(0,0)
(-1.36158,1.04706)
(0,0)
(5.154,4.57595)
(0,0)
(-1.8591,0.433216)
(0,0)
(2.9409,-5.60247)
(0,0)
(-17.1807,-2.17079)
(0,0)
(1.40151,13.8722)
(0,0)
(-2.36936,-1.32254)
(0,0)




(0,0)
(0,2.93463)
(0,0)
(4.25154,-1.04083e-16)
(0,0)
(1.16985,-0.19117)
(0,0)
(-0.765337,3.54229)
(0,0)
(0,0)
(0,0)
(0.134013,0.502085)
(0,0)
(-4.86062,-12.7376)
(0,0)
(-2.78455,0.327294)
(0,0)
(0.055965,-2.19044)
(0,0)
(-2.02943,1.23805)
(0,0)
(5.05776,4.82371)
(0,0)
(-1.52458,0.563162)
(0,0)
(2.77921,-6.11134)
(0,0)
(-17.1807,-2.17079)
(0,0)
(1.72559,13.9927)
(0,0)
(-2.40271,-1.26094)




(-0.0615125,0.00274744)
(0,0)
(1.16985,-0.19117)
(0,0)
(-10.1633,-3.05311e-16)
(0,0)
(0.0770198,-1.52825)
(0,0)
(0.0339611,6.8105)
(0,0)
(-1.39658,1.86673)
(0,0)
(0.163189,-0.028521)
(0,0)
(-4.59142,-4.75826)
(0,0)
(0.789615,-0.233701)
(0,0)
(3.60602,12.4357)
(0,0)
(-0.316048,-0.249653)
(0,0)
(-0.249712,0.140521)
(0,0)
(2.49923,-10.0443)
(0.160912,0.0212778)
(-0.0892423,1.19866)
(-0.102527,-0.0129543)
